college_id,college_code,college_name,name_normalized,state,city,ownership,counselling,courses,annual_intake,fee_govt_quota,fee_private,nmc_approved,source_id,notes
92,,"Autonomous State Medical College, Amethi (U.P.),Autonomous State Medical College, Tiloi, Amethi (U.P.) - 229309",autonomous state medical college amethi u p autonomous state medical college tiloi amethi u p,Unknown,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
93,,"Autonomous State Medical College ,Etah,NAGLA PADIHAR SIRAO MAHARARA LINK, PAC ROAD, SAKEET, ETAH,U.P.- 207001, Uttar Pradesh, 207001",autonomous state medical college etah nagla padihar sirao maharara link pac road sakeet etah u p uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
94,,"Autonomous State Medical College , Fatehpur,Autonomous State Medical College Village chittaura near Allipur GT road fatehpur, Uttar Pradesh, 212601",autonomous state medical college fatehpur autonomous state medical college village chittaura near allipur gt road fatehpur uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
95,,"Autonomous State Medical College, Ghazipur,Principal Prashasnik Bhawan MV Autonomous State Medical College RTI Chauraha Ghazipur, Uttar Pradesh, 233001",autonomous state medical college ghazipur principal prashasnik bhawan mv autonomous state medical college rti chauraha ghazipur uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
96,,"Autonomous State Medical College, Gonda,Chhavanni Sarkar Infront of Circuit House Gonda, Uttar Pradesh, 271001",autonomous state medical college gonda chhavanni sarkar infront of circuit house gonda uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
97,,"Autonomous State Medical College, Kanpur Dehat, Uttar Pradesh",autonomous state medical college kanpur dehat,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
98,,"Autonomous State Medical College, Kanpur Dehat, Uttar Pradesh,Kumbhi, Akabarpur, Kanpur Dehat U.P., Uttar Pradesh, 209101",autonomous state medical college kanpur dehat uttar pradesh kumbhi akabarpur kanpur dehat u p uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
99,,"Autonomous state Medical College, Kaushambi,Kadipur Manjhanpur Kaushambi District, Uttar Pradesh, 212207",autonomous state medical college kaushambi kadipur manjhanpur kaushambi district uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
100,,"Autonomous State Medical College, Lakhimpur Kheri, Uttar Pradesh,Near Deokali Temple, Saidapur Bhau, Uttar Pradesh, 262701",autonomous state medical college lakhimpur kheri uttar pradesh near deokali temple saidapur bhau uttar pradesh,Uttar Pradesh,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
101,,"Autonomous State Medical College, Lalitpur, U.P",autonomous state medical college lalitpur u p,Unknown,,government,MCC,,,,,1,,auto-generated from allotment data; needs manual review
