year,college_code,college_name,discipline,course,seat_type,fee_per_annum
2021,D114,"Raja Rajeshwari Dental College and Hospital,Bangalore",DENTAL,BDS,GOVT,95808
2021,D114,"Raja Rajeshwari Dental College and Hospital,Bangalore",DENTAL,BDS,PRIV,512450
2021,D114,"Raja Rajeshwari Dental College and Hospital,Bangalore",DENTAL,BDS,NRI,612450
2021,D114,"Raja Rajeshwari Dental College and Hospital,Bangalore",DENTAL,BDS,OTHERS,612450
2021,D115,"Rashtreeya Vidyalaya Dental College,Bangalore",DENTAL,BDS,GOVT,95808
2021,D115,"Rashtreeya Vidyalaya Dental College,Bangalore",DENTAL,BDS,PRIV,562450
2021,D115,"Rashtreeya Vidyalaya Dental College,Bangalore",DENTAL,BDS,NRI,562450
2021,D115,"Rashtreeya Vidyalaya Dental College,Bangalore",DENTAL,BDS,OTHERS,562450
2021,D116,"Krishnadevaraya College of Dental Sciences, Road, Bangalore",DENTAL,BDS,GOVT,95808
2021,D116,"Krishnadevaraya College of Dental Sciences, Road, Bangalore",DENTAL,BDS,PRIV,412450
2021,D116,"Krishnadevaraya College of Dental Sciences, Road, Bangalore",DENTAL,BDS,NRI,462450
2021,D116,"Krishnadevaraya College of Dental Sciences, Road, Bangalore",DENTAL,BDS,OTHERS,462450
2021,D117,"Dr. Shyamala Reddy Dental College,Bangalore",DENTAL,BDS,GOVT,95808
2021,D117,"Dr. Shyamala Reddy Dental College,Bangalore",DENTAL,BDS,PRIV,678473
2021,D117,"Dr. Shyamala Reddy Dental College,Bangalore",DENTAL,BDS,NRI,562950
2021,D117,"Dr. Shyamala Reddy Dental College,Bangalore",DENTAL,BDS,OTHERS,562950
2021,D118,"Bangalore Institute of Dental Sciences & Hospital,Bangalore",DENTAL,BDS,GOVT,95808
2021,D118,"Bangalore Institute of Dental Sciences & Hospital,Bangalore",DENTAL,BDS,PRIV,487450
2021,D118,"Bangalore Institute of Dental Sciences & Hospital,Bangalore",DENTAL,BDS,NRI,562450
2021,D118,"Bangalore Institute of Dental Sciences & Hospital,Bangalore",DENTAL,BDS,OTHERS,562450
2021,D119,"K L E S Institute of Dental Sciences,Bangalore",DENTAL,BDS,GOVT,95808
2021,D119,"K L E S Institute of Dental Sciences,Bangalore",DENTAL,BDS,PRIV,412450
2021,D119,"K L E S Institute of Dental Sciences,Bangalore",DENTAL,BDS,NRI,512450
2021,D119,"K L E S Institute of Dental Sciences,Bangalore",DENTAL,BDS,OTHERS,412450
2021,D120,"Venkateswara Dental College,Bangalore",DENTAL,BDS,GOVT,95808
2021,D120,"Venkateswara Dental College,Bangalore",DENTAL,BDS,PRIV,362450
2021,D120,"Venkateswara Dental College,Bangalore",DENTAL,BDS,NRI,412450
2021,D120,"Venkateswara Dental College,Bangalore",DENTAL,BDS,OTHERS,412450
2021,D121,"K.G.F. College of Dental Sciences,K.G.F.",DENTAL,BDS,GOVT,95808
2021,D121,"K.G.F. College of Dental Sciences,K.G.F.",DENTAL,BDS,PRIV,312450
