year,round,college_code,college_name,quota,fee
2022,R2,D122,"Vydehi Institute of Dental Sciences and Research Centre,Banga9lo5r8e",GOVT,8
2022,R2,D122,"Vydehi Institute of Dental Sciences and Research Centre,Banga9lo5r8e",PRIVATE,745075
2022,R2,D122,"Vydehi Institute of Dental Sciences and Research Centre,Banga9lo5r8e",NRI,741950
2022,R2,D122,"Vydehi Institute of Dental Sciences and Research Centre,Banga9lo5r8e",OTHERS,741950
2022,R2,D224,"Farooquia Dental College,Mysore",GOVT,95808
2022,R2,D224,"Farooquia Dental College,Mysore",PRIVATE,307450
2022,R2,D224,"Farooquia Dental College,Mysore",NRI,407450
2022,R2,D224,"Farooquia Dental College,Mysore",OTHERS,357450
2022,R2,D225,"Sri. Hasanamba Dental College and Hospital,Hassan",GOVT,95808
2022,R2,D225,"Sri. Hasanamba Dental College and Hospital,Hassan",PRIVATE,362450
2022,R2,D225,"Sri. Hasanamba Dental College and Hospital,Hassan",NRI,362450
2022,R2,D225,"Sri. Hasanamba Dental College and Hospital,Hassan",OTHERS,362450
2022,R2,D333,"Al-Ameen Dental College,Bijapur",GOVT,95808
2022,R2,D333,"Al-Ameen Dental College,Bijapur",PRIVATE,362450
2022,R2,D333,"Al-Ameen Dental College,Bijapur",NRI,362450
2022,R2,D333,"Al-Ameen Dental College,Bijapur",OTHERS,362450
2022,R2,D335,"Maratha Mandal Dental College,Belgaum",GOVT,95808
2022,R2,D335,"Maratha Mandal Dental College,Belgaum",PRIVATE,362450
2022,R2,D335,"Maratha Mandal Dental College,Belgaum",NRI,412450
2022,R2,D335,"Maratha Mandal Dental College,Belgaum",OTHERS,412450
2022,R2,D336,"PM Nadagowda Memorial Dental College and Hospital,Bagalko9t",GOVT,5808
2022,R2,D336,"PM Nadagowda Memorial Dental College and Hospital,Bagalko9t",PRIVATE,362450
2022,R2,D336,"PM Nadagowda Memorial Dental College and Hospital,Bagalko9t",NRI,362450
2022,R2,D336,"PM Nadagowda Memorial Dental College and Hospital,Bagalko9t",OTHERS,362450
2022,R2,D337,"Sri Dharmasthala Manjunatheswara Dental College,Dharwad",GOVT,98858
2022,R2,D337,"Sri Dharmasthala Manjunatheswara Dental College,Dharwad",PRIVATE,469350
2022,R2,D337,"Sri Dharmasthala Manjunatheswara Dental College,Dharwad",NRI,657450
2022,R2,D337,"Sri Dharmasthala Manjunatheswara Dental College,Dharwad",OTHERS,549950
2022,R2,D442,"Hyderabad Karnataka Education Societies Dental College,Gulba9r5ga",GOVT,808
2022,R2,D442,"Hyderabad Karnataka Education Societies Dental College,Gulba9r5ga",PRIVATE,212450
2022,R2,D442,"Hyderabad Karnataka Education Societies Dental College,Gulba9r5ga",NRI,212450
2022,R2,D442,"Hyderabad Karnataka Education Societies Dental College,Gulba9r5ga",OTHERS,212450
2022,R2,D443,"Al Badar Dental College and Hospital,Gulbarga",GOVT,95808
2022,R2,D443,"Al Badar Dental College and Hospital,Gulbarga",PRIVATE,297450
2022,R2,D443,"Al Badar Dental College and Hospital,Gulbarga",NRI,437450
2022,R2,D443,"Al Badar Dental College and Hospital,Gulbarga",OTHERS,337450
2022,R2,D444,"HKDET`S Dental College Hospital,Humnabad, Bidar Dist",GOVT,95808
2022,R2,D444,"HKDET`S Dental College Hospital,Humnabad, Bidar Dist",PRIVATE,212450
2022,R2,D444,"HKDET`S Dental College Hospital,Humnabad, Bidar Dist",NRI,262450
2022,R2,D444,"HKDET`S Dental College Hospital,Humnabad, Bidar Dist",OTHERS,262450
2022,R2,D445,"S.B.Patil Institute for Dental Sciences and Research,Bidar",GOVT,95808
2022,R2,D445,"S.B.Patil Institute for Dental Sciences and Research,Bidar",PRIVATE,272450
2022,R2,D445,"S.B.Patil Institute for Dental Sciences and Research,Bidar",NRI,287450
2022,R2,D445,"S.B.Patil Institute for Dental Sciences and Research,Bidar",OTHERS,287450
2022,R2,D446,"Academy of Medical Education Dental College,Raichur",GOVT,95808
2022,R2,D446,"Academy of Medical Education Dental College,Raichur",PRIVATE,362450
2022,R2,D446,"Academy of Medical Education Dental College,Raichur",NRI,362450
2022,R2,D446,"Academy of Medical Education Dental College,Raichur",OTHERS,362450
2022,R2,D447,"Navodaya Dental College,Raichur",GOVT,95808
2022,R2,D447,"Navodaya Dental College,Raichur",PRIVATE,312450
2022,R2,D447,"Navodaya Dental College,Raichur",NRI,312450
2022,R2,D447,"Navodaya Dental College,Raichur",OTHERS,312450
2022,R2,D448,"Government Dental College and Research Institute,Bellary",GOVT,49850
2022,R2,D551,"Coorg Institute of Dental Sciences, Coorg District",GOVT,95808
2022,R2,D551,"Coorg Institute of Dental Sciences, Coorg District",PRIVATE,745075
2022,R2,D551,"Coorg Institute of Dental Sciences, Coorg District",NRI,727450
2022,R2,D551,"Coorg Institute of Dental Sciences, Coorg District",OTHERS,727450
2022,R2,D555,"K.Venkataramana Gowda Dental College Hospital and Research9 C5e8n0t8re,D3a6k2s4h5in0a Ka3n7n2a4d5a",GOVT,0
2022,R2,D555,"K.Venkataramana Gowda Dental College Hospital and Research9 C5e8n0t8re,D3a6k2s4h5in0a Ka3n7n2a4d5a",PRIVATE,362450
2022,R2,D556,"A.J. Institute of Dental Sciences,Mangalore",GOVT,95808
