year,round,college_code,college_name,course,seat_type,category,closing_rank
2023,R2,M009,,MBBS-GOVT.,GOVT,SCH,185598
2023,R2,M087,,MBBS-GOVT.,GOVT,SCRH,191056
2023,R2,M071,,MBBS-GOVT.,GOVT,SCG,195446
2023,R2,M084,,MBBS-GOVT.,GOVT,SCRH,186078
2023,R2,M068,,MBBS-GOVT.,GOVT,SCR,191800
2023,R2,M087,,MBBS-GOVT.,GOVT,SCK,186608
2023,R2,M092,,MBBS-GOVT.,GOVT,SCH,187162
2023,R2,M068,,MBBS-GOVT.,GOVT,STH,186794
2023,R2,M052,,MBBS-GOVT.,GOVT,STG,214334
2023,R2,M023,,MBBS-GOVT.,GOVT,STG,204151
2023,R2,M050,,MBBS-GOVT.,GOVT,SCR,187956
2023,R2,M061,,MBBS-GOVT.,GOVT,SCH,187979
2023,R2,M087,,MBBS-GOVT.,GOVT,SCKH,188005
2023,R2,M020,,MBBS-GOVT.,GOVT,SCG,196716
2023,R2,M042,,MBBS-GOVT.,GOVT,STH,194851
2023,R2,M086,,MBBS-GOVT.,GOVT,SCK,189383
2023,R2,M067,,MBBS-GOVT.,GOVT,STG,199080
2023,R2,M069,,MBBS-GOVT.,GOVT,SCG,199506
2023,R2,M083,,MBBS-GOVT.,GOVT,STG,208935
2023,R2,M064,,MBBS-GOVT.,GOVT,SCH,190588
2023,R2,M070,,MBBS-GOVT.,GOVT,STKH,190966
2023,R2,M077,,MBBS-GOVT.,GOVT,STK,190967
2023,R2,M035,,MBBS-GOVT.,GOVT,STR,191210
2023,R2,M066,,MBBS-GOVT.,GOVT,PH,906039
2023,R2,M062,,MBBS-GOVT.,GOVT,SCH,191501
2023,R2,M002,,MBBS-GOVT.,GOVT,STR,191828
2023,R2,M062,,MBBS-GOVT.,GOVT,STR,191842
2023,R2,M079,,MBBS-PRIV.,PRIV,GMPH,198674
2023,R2,M090,,MBBS-GOVT.,GOVT,STG,198514
2023,R2,M023,,MBBS-GOVT.,GOVT,SCR,194958
2023,R2,M035,,MBBS-GOVT.,GOVT,STH,193337
2023,R2,M067,,MBBS-GOVT.,GOVT,SCH,197470
2023,R2,M092,,MBBS-GOVT.,GOVT,SCK,193876
2023,R2,M020,,MBBS-GOVT.,GOVT,STG,205676
2023,R2,M035,,MBBS-GOVT.,GOVT,SCR,202277
2023,R2,M091,,MBBS-GOVT.,GOVT,SCG,206308
2023,R2,M043,,MBBS-GOVT.,GOVT,SCH,207292
2023,R2,M076,,MBBS-GOVT.,GOVT,SCKH,197143
2023,R2,M023,,MBBS-GOVT.,GOVT,SCH,197611
2023,R2,M020,,MBBS-GOVT.,GOVT,SCK,197656
2023,R2,M065,,MBBS-GOVT.,GOVT,SCG,204409
2023,R2,M093,,MBBS-GOVT.,GOVT,STG,197860
2023,R2,M054,,MBBS-GOVT.,GOVT,SCG,203123
2023,R2,M036,,MBBS-GOVT.,GOVT,SCRH,198103
2023,R2,M078,,MBBS-GOVT.,GOVT,SCH,198569
2023,R2,M062,,MBBS-GOVT.,GOVT,SCR,202946
2023,R2,M051,,MBBS-GOVT.,GOVT,SCK,198728
2023,R2,M079,,MBBS-GOVT.,GOVT,SCG,205869
2023,R2,M081,,MBBS-GOVT.,GOVT,SCH,198898
2023,R2,M054,,MBBS-GOVT.,GOVT,STG,208548
2023,R2,M084,,MBBS-GOVT.,GOVT,JK,199198
2023,R2,M005,,MBBS-GOVT.,GOVT,SCG,202151
2023,R2,M020,,MBBS-GOVT.,GOVT,SCR,201290
2023,R2,M090,,MBBS-GOVT.,GOVT,STH,201341
2023,R2,M053,,MBBS-GOVT.,GOVT,STR,201537
2023,R2,M085,,MBBS-GOVT.,GOVT,STK,201695
2023,R2,M065,,MBBS-GOVT.,GOVT,STG,202091
2023,R2,M042,,MBBS-GOVT.,GOVT,SCRH,203633
2023,R2,M045,,MBBS-GOVT.,GOVT,JK,203753
2023,R2,M020,,MBBS-GOVT.,GOVT,SCH,204300
2023,R2,M064,,MBBS-GOVT.,GOVT,SCR,214539
2023,R2,M052,,MBBS-GOVT.,GOVT,SCG,207728
2023,R2,M035,,MBBS-GOVT.,GOVT,SCH,204759
2023,R2,M041,,MBBS-GOVT.,GOVT,PH,1197732
2023,R2,M033,,MBBS-GOVT.,GOVT,SCG,207338
2023,R2,M087,,MBBS-GOVT.,GOVT,JK,206239
2023,R2,M090,,MBBS-GOVT.,GOVT,SCH,206483
2023,R2,M078,,MBBS-GOVT.,GOVT,SCR,207170
2023,R2,M033,,MBBS-GOVT.,GOVT,SCH,207423
2023,R2,M005,,MBBS-GOVT.,GOVT,SCH,211708
2023,R2,M023,,MBBS-GOVT.,GOVT,STR,208315
2023,R2,M089,,MBBS-GOVT.,GOVT,SCG,209013
2023,R2,M081,,MBBS-GOVT.,GOVT,STG,220568
2023,R2,M069,,MBBS-GOVT.,GOVT,STG,212834
2023,R2,M061,,MBBS-GOVT.,GOVT,SCK,209044
2023,R2,M033,,MBBS-GOVT.,GOVT,SCK,209113
2023,R2,M054,,MBBS-GOVT.,GOVT,SCR,210247
2023,R2,M004,,MBBS-GOVT.,GOVT,SCK,210332
2023,R2,M052,,MBBS-GOVT.,GOVT,SCH,211715
2023,R2,M008,,MBBS-GOVT.,GOVT,SCR,211746
2023,R2,M081,,MBBS-GOVT.,GOVT,SCR,212483
2023,R2,M020,,MBBS-GOVT.,GOVT,STR,212624
2023,R2,M083,,MBBS-GOVT.,GOVT,SCR,212654
2023,R2,M090,,MBBS-GOVT.,GOVT,SCR,213327
2023,R2,M067,,MBBS-GOVT.,GOVT,SCR,214113
2023,R2,M079,,MBBS-GOVT.,GOVT,STG,217799
2023,R2,M008,,MBBS-GOVT.,GOVT,STH,214151
2023,R2,M052,,MBBS-GOVT.,GOVT,SCR,214196
2023,R2,M087,,MBBS-GOVT.,GOVT,STRH,214228
2023,R2,M069,,MBBS-GOVT.,GOVT,SCR,214360
2023,R2,M033,,MBBS-GOVT.,GOVT,SCR,215193
2023,R2,M043,,MBBS-GOVT.,GOVT,SCR,215314
2023,R2,M091,,MBBS-GOVT.,GOVT,STG,217878
2023,R2,M064,,MBBS-GOVT.,GOVT,STR,216074
